Job Title,Advertised job vacancies,Average advertised salary,Field
Nurse,399785,115078,Medical
Delivery Driver,222369,78093,Transportation
Sales Support Assistant,216161,33625,Business And Finance
Customer Service Representative,153583,37940,Business And Finance
Delivery Trucker,151230,39722,Transportation
Nursing Assistant,133715,55952,Medical
Technician,129609,50003,Engineering And Infrastructure
Software Developer,127782,131398,Engineering And Infrastructure
Shift Manager,106563,29199,Office Adminstration
Engineer,83448,130374,Engineering And Infrastructure
Tutor,78353,42568,Education
Cashier,75572,24845,Retail
Sales Executive,67794,65665,Business And Finance
Cook,67766,29378,Food and Leisure
Finance Clerk,61364,56569,Business And Finance
Merchandiser,53416,34008,Retail
Agent,52838,49198,Personal Services
Teacher,51161,35840,Education
Management Assistant,50989,35886,Office Adminstration
Physiotherapist,45768,88718,Medical
Waiter/Waitress,43714,29070,Food and Leisure
Maintenance Technician,41186,45144,Engineering And Infrastructure
Receptionist,40912,39120,Office Adminstration
Restaurant Manager,39935,53256,Food and Leisure
Medical Administrative Assistant,39598,38332,Medical
Housekeeper,39271,30224,Personal Services
Warehouse Worker,36872,35226,Engineering And Infrastructure
Shop Manager,36130,58572,Retail
Barista,35361,30143,Food and Leisure
Security Guard,35081,34290,Security
