state,2023_Population,Unemployment_rate_2023
Alabama,5098746.00,2.1
Arizona,7453517.00,3.8
Arkansas,3063152.00,2.7
California,38915693.00,4.6
Colorado,5868555.00,3.1
Connecticut,3629055.00,3.6
Delaware,1031985.00,4.1
District of Columbia,674815.00,5
Florida,22661577.00,2.7
Georgia,11037723.00,3.3
Hawaii,1433238.00,2.8
Idaho,1973752.00,3
Illinois,12477595.00,4.1
Indiana,6852542.00,3.4
Iowa,3203345.00,2.9
Kansas,2936378.00,2.7
Kentucky,4518031.00,4
Louisiana,4553384.00,3.3
Maine,1393442.00,2.5
Maryland,6154710.00,1.7
Massachusetts,6974258.00,2.6
Michigan,10030722.00,3.7
Minnesota,5722897.00,3.1
Mississippi,2930528.00,3.2
Missouri,6186091.00,2.8
Montana,1139507.00,2.5
Nebraska,1972292.00,2
Nevada,3209142.00,5.4
New Hampshire,1402957.00,1.8
New Jersey,9255437.00,4.2
New Mexico,2110011.00,3.7
New York,19496810.00,3.9
North Carolina,10832061.00,3.3
North Dakota,780588.00,1.9
Ohio,11747774.00,3.4
Oklahoma,4048375.00,2.8
Oregon,4223973.00,3.4
Pennsylvania,12931957.00,3.5
Rhode Island,1090483.00,2.7
South Carolina,5372002.00,3
South Dakota,923484.00,1.9
Tennessee,7134327.00,3.1
Texas,30500280.00,4.1
Utah,3422487.00,2.5
Vermont,647156.00,1.8
Virginia,8709873.00,2.5
Washington,7830827.00,3.6
West Virginia,1764786.00,3.6
Wisconsin,5904977.00,2.9
Wyoming,583279.00,2.9
