state,crime rate per 100k people
Alabama,453.6
Alaska,837.8
Arizona,654.8
Arkansas,671.9
California,442
Colorado,423.1
Connecticut,181.6
Delaware,431.9
District of Columbia,999.8
Florida,383.6
Georgia,400.1
Hawaii,254.2
Idaho,242.6
Illinois,425.9
Indiana,357.7
Iowa,303.5
Kansas,425
Kentucky,259.1
Louisiana,639.4
Maine,108.6
Maryland,399.9
Massachusetts,308.8
Michigan,478
Minnesota,277.5
Mississippi,291.2
Missouri,542.7
Montana,469.8
Nebraska,334.1
Nevada,460.3
New Hampshire,146.4
New Jersey,195.4
New Mexico,778.3
New York,363.8
North Carolina,419.3
North Dakota,329
Ohio,308.8
Oklahoma,458.6
Oregon,291.9
Pennsylvania,389.5
Puerto Rico,164.5
Rhode Island,230.8
South Carolina,530.7
South Dakota,501.4
Tennessee,672.7
Texas,446.5
Utah,260.7
Vermont,173.4
Virginia,208
Washington,293.7
West Virginia,355.9
Wisconsin,323.4
Wyoming,234.2
