Entity,Year,Liver cancer,Kidney cancer ,Lip and oral cavity cancer,"Tracheal, bronchus, and lung cancer",Larynx cancer,Gallbladder and biliary tract cancer
World,1990,365215,72100,96628,1065139,87459,94855
World,1991,382764,74404,98834,1088143,88942,96277
World,1992,399662,77063,101317,1113920,90438,97868
World,1993,417329,80477,104920,1151283,92949,99796
World,1994,435088,83173,108120,1176758,94573,101199
World,1995,450534,85147,110272,1200039,94801,102228
World,1996,462869,86719,112548,1215381,94982,103529
World,1997,469867,88605,115646,1231496,95634,105430
World,1998,476714,91039,117824,1254538,95592,107592
World,1999,480253,94024,120196,1287809,95788,110443
World,2000,470152,97021,123031,1321280,96367,113282
World,2001,444735,99757,125613,1347965,96653,115918
World,2002,409845,103419,128579,1383984,97445,119661
World,2003,381934,107215,131438,1417126,97780,123579
World,2004,363000,110526,133025,1449142,97053,126377
World,2005,358848,114644,137616,1485760,98452,130135
World,2006,361207,117112,140515,1505994,98773,132360
World,2007,366399,120378,144554,1543830,99980,135222
World,2008,376325,124512,149224,1590730,102197,137886
World,2009,381199,127847,152837,1631778,103111,139889
World,2010,386342,131982,157288,1670745,105127,142775
World,2011,391139,135052,161518,1704610,106526,145575
World,2012,398129,138526,166179,1736387,108481,148112
World,2013,408647,141658,170709,1765970,109894,150637
World,2014,422102,144809,174486,1799303,111135,152928
World,2015,436627,149285,179876,1840754,113940,156287
World,2016,449633,152749,184934,1879226,116375,159988
World,2017,460784,156096,188514,1920896,118164,163491
World,2018,471761,161148,193941,1979288,120617,167859
World,2019,484577,166438,199398,2042640,123356,172441
