Entity,Code,Year,"Deaths - Tracheal, bronchus, and lung cancer - Sex: Both - Age: All Ages (Number)"
Afghanistan,AFG,2019,1492
African Region (WHO),,2019,48751
Albania,ALB,2019,1158
Algeria,DZA,2019,3291
American Samoa,ASM,2019,13
Andorra,AND,2019,48
Angola,AGO,2019,1582
Antigua and Barbuda,ATG,2019,9
Argentina,ARG,2019,13879
Armenia,ARM,2019,1334
Australia,AUS,2019,10034
Austria,AUT,2019,4212
Azerbaijan,AZE,2019,2296
Bahamas,BHS,2019,56
Bahrain,BHR,2019,142
Bangladesh,BGD,2019,9970
Barbados,BRB,2019,48
Belarus,BLR,2019,3543
Belgium,BEL,2019,7896
Belize,BLZ,2019,37
Benin,BEN,2019,508
Bermuda,BMU,2019,32
Bhutan,BTN,2019,44
Bolivia,BOL,2019,1217
Bosnia and Herzegovina,BIH,2019,2390
Botswana,BWA,2019,298
Brazil,BRA,2019,36987
Brunei,BRN,2019,103
Bulgaria,BGR,2019,4608
Burkina Faso,BFA,2019,908
Burundi,BDI,2019,322
Cambodia,KHM,2019,2985
Cameroon,CMR,2019,1607
Canada,CAN,2019,24052
Cape Verde,CPV,2019,76
Central African Republic,CAF,2019,289
Chad,TCD,2019,654
Chile,CHL,2019,4005
China,CHN,2019,757171
Colombia,COL,2019,6348
Comoros,COM,2019,37
Congo,COG,2019,422
Cook Islands,COK,2019,7
Costa Rica,CRI,2019,492
Cote d'Ivoire,CIV,2019,1312
Croatia,HRV,2019,2875
Cuba,CUB,2019,6560
Cyprus,CYP,2019,462
Czechia,CZE,2019,6238
Democratic Republic of Congo,COD,2019,4314
Denmark,DNK,2019,4359
Djibouti,DJI,2019,63
Dominica,DMA,2019,16
Dominican Republic,DOM,2019,1437
East Asia & Pacific (WB),,2019,1035132
East Timor,TLS,2019,165
Eastern Mediterranean Region (WHO),,2019,57775
Ecuador,ECU,2019,1552
Egypt,EGY,2019,6070
El Salvador,SLV,2019,632
England,,2019,34511
Equatorial Guinea,GNQ,2019,78
Eritrea,ERI,2019,228
Estonia,EST,2019,714
Eswatini,SWZ,2019,105
Ethiopia,ETH,2019,2307
Europe & Central Asia (WB),,2019,459816
European Region (WHO),,2019,463756
Fiji,FJI,2019,74
Finland,FIN,2019,2593
France,FRA,2019,40195
G20,,2019,1724691
Gabon,GAB,2019,205
Gambia,GMB,2019,72
Georgia,GEO,2019,1770
Germany,DEU,2019,53968
Ghana,GHA,2019,1409
Greece,GRC,2019,8643
Greenland,GRL,2019,53
Grenada,GRD,2019,16
Guam,GUM,2019,60
Guatemala,GTM,2019,897
Guinea,GIN,2019,570
Guinea-Bissau,GNB,2019,93
Guyana,GUY,2019,55
Haiti,HTI,2019,796
Honduras,HND,2019,1399
Hungary,HUN,2019,8972
Iceland,ISL,2019,147
India,IND,2019,89242
Indonesia,IDN,2019,49437
Iran,IRN,2019,8923
Iraq,IRQ,2019,4232
Ireland,IRL,2019,2190
Israel,ISR,2019,2518
Italy,ITA,2019,36975
Jamaica,JAM,2019,572
Japan,JPN,2019,86001
